attendance,study_hours,IAT_marks,assignment,extracurricular_activity,consistency_rating,predicted_grade,confidence_level,predictor
95.27,9.88,56.75,60.97,Technical Club,6,A-,71.65,pass
54.56,4.54,68.83,95.26,Art & Design,3,B+,50.0,pass
65.97,6.88,35.37,23.82,Entrepreneurship Cell,3,C,50.0,fail
97.5,1.41,30.29,48.18,Student Council,6,C,71.78,fail
97.53,4.86,76.93,88.53,Art & Design,3,A-,50.0,pass
78.67,0.28,74.93,51.68,Music/Band,10,B,100.0,pass
81.59,5.05,58.76,35.93,Volunteering,6,B,73.99,pass
72.42,9.64,64.28,53.98,Art & Design,5,B+,61.7,pass
64.66,3.84,59.08,50.84,Cultural Activity,4,B,53.83,pass
66.43,0.39,31.68,93.23,Drama/Theatre,8,B,98.72,pass
83.63,0.31,53.48,80.95,NSS,2,B,50.0,pass
87.62,3.88,42.4,60.41,Music/Band,7,B,89.52,pass
89.58,1.6,36.89,99.07,NSS,4,B,59.46,pass
89.48,0.23,96.97,57.22,Club Activity,2,B,50.0,pass
54.56,7.56,71.96,24.66,Drama/Theatre,7,B,81.77,pass
74.72,4.59,81.01,40.98,Music/Band,1,B,50.0,pass
52.88,2.89,52.08,54.89,Student Council,4,C,53.93,fail
77.48,9.0,57.52,32.55,Cultural Activity,9,B+,100.0,pass
72.08,1.16,46.58,95.81,Student Council,4,B,52.74,pass
94.39,9.56,36.79,81.35,Technical Club,3,A-,50.0,pass
67.55,3.14,42.53,41.46,Club Activity,10,B,100.0,pass
55.85,8.88,85.83,67.26,Cultural Activity,10,A-,100.0,pass
57.15,6.03,77.43,77.72,Entrepreneurship Cell,2,B+,50.0,pass
88.08,8.27,68.29,95.3,Photography Club,3,A-,50.0,pass
80.91,9.84,63.26,90.53,Art & Design,1,A-,50.0,pass
55.06,2.88,94.57,61.22,Art & Design,10,B+,100.0,pass
54.21,9.61,35.09,81.97,Photography Club,8,B+,97.69,pass
85.05,3.89,49.64,64.97,Sports,1,B,50.0,pass
53.64,3.86,54.5,64.22,Art & Design,3,B,50.0,pass
91.09,3.4,84.77,29.18,Volunteering,3,B,50.0,pass
85.31,5.41,99.48,30.09,Club Activity,2,B+,50.0,pass
54.07,1.54,46.85,62.36,Volunteering,5,C,67.29,fail
54.24,5.54,91.2,41.51,Photography Club,10,B+,100.0,pass
99.33,5.42,88.14,21.68,Drama/Theatre,3,B+,50.0,pass
68.71,7.62,45.73,77.83,Sports,3,B+,50.0,pass
68.53,8.34,57.95,22.6,Sports,8,B,99.22,pass
90.64,4.4,58.68,67.62,Photography Club,4,B+,59.33,pass
97.36,3.02,98.48,63.14,Photography Club,4,B+,52.42,pass
99.3,2.59,42.66,97.51,Art & Design,3,B+,50.0,pass
87.67,1.95,85.94,58.74,Cultural Activity,1,B,50.0,pass
68.81,0.58,53.39,25.09,Drama/Theatre,8,C,99.18,fail
54.18,3.42,81.16,64.14,Technical Club,1,B,50.0,pass
88.86,2.7,59.4,87.29,Club Activity,7,B+,87.44,pass
77.92,9.66,70.49,99.75,Club Activity,5,A,64.67,pass
71.21,5.58,88.28,54.43,Music/Band,4,B+,52.28,pass
95.32,3.47,86.29,45.62,Student Council,4,B+,51.99,pass
55.56,5.8,90.65,92.53,Art & Design,8,A-,94.25,pass
74.63,1.39,34.17,35.3,Music/Band,6,C,77.55,fail
50.57,4.44,78.44,69.23,Technical Club,1,B,50.0,pass
73.43,6.26,39.8,52.46,Sports,10,B+,100.0,pass
52.82,4.89,59.11,23.29,Photography Club,8,C,92.82,fail
55.94,4.02,68.4,47.78,NSS,2,B,50.0,pass
55.88,9.94,58.19,41.22,Photography Club,6,B+,70.44,pass
82.46,8.8,66.37,74.89,Technical Club,9,A-,100.0,pass
87.3,6.23,99.76,95.9,Technical Club,1,A-,50.0,pass
79.17,5.69,39.47,41.44,Cultural Activity,6,B,74.07,pass
98.11,6.21,77.28,84.92,Cultural Activity,8,A,90.11,pass
68.74,2.01,57.72,24.43,Cultural Activity,10,C,100.0,fail
64.29,3.95,39.31,63.05,Cultural Activity,2,C,50.0,fail
93.43,0.39,41.11,25.64,Student Council,5,C,66.12,fail
61.18,4.76,96.45,94.72,Art & Design,6,A-,77.88,pass
98.16,5.43,91.57,81.31,Entrepreneurship Cell,5,A-,62.54,pass
50.61,2.28,93.49,72.64,Club Activity,3,B,50.0,pass
98.49,9.64,99.41,85.91,Art & Design,4,A,56.88,pass
52.16,9.09,44.58,71.8,Art & Design,7,B+,83.23,pass
94.56,7.22,54.88,97.52,Club Activity,4,A-,55.45,pass
76.39,5.33,76.85,77.12,Cultural Activity,9,A-,100.0,pass
99.65,8.7,63.87,93.97,Art & Design,10,A,100.0,pass
53.69,1.31,59.29,61.37,Photography Club,2,C,50.0,fail
77.69,7.91,55.05,29.37,Student Council,5,B,64.21,pass
98.47,1.25,71.56,62.25,Cultural Activity,8,B+,98.4,pass
76.15,7.94,70.29,30.15,Student Council,5,B+,65.9,pass
81.47,2.76,41.3,67.4,Music/Band,10,B,100.0,pass
84.79,8.77,63.02,58.6,Entrepreneurship Cell,8,A-,95.81,pass
72.73,9.44,68.74,69.81,Art & Design,8,A-,95.06,pass
81.38,1.49,69.92,20.8,Photography Club,9,B,100.0,pass
79.22,4.63,44.71,35.59,Entrepreneurship Cell,10,B,100.0,pass
95.06,9.81,81.96,59.31,Volunteering,6,A-,74.17,pass
52.27,4.83,31.76,96.04,Student Council,4,B,50.73,pass
64.05,8.64,54.84,50.69,Music/Band,3,B,50.0,pass
97.52,5.89,84.61,53.95,Drama/Theatre,5,A-,64.16,pass
94.51,3.75,69.47,77.18,Drama/Theatre,6,B+,73.05,pass
72.78,2.86,48.28,68.3,Music/Band,3,B,50.0,pass
81.01,2.03,78.65,43.91,Sports,2,B,50.0,pass
63.87,7.62,69.72,52.87,Sports,7,B+,87.58,pass
59.41,3.87,85.74,37.42,Cultural Activity,5,B,65.3,pass
73.18,5.11,81.45,97.28,Sports,9,A-,100.0,pass
67.67,4.92,72.71,30.45,Drama/Theatre,3,B,50.0,pass
79.18,5.77,64.17,49.75,Photography Club,8,B+,99.42,pass
53.89,8.66,39.32,22.07,Sports,6,C,75.3,fail
98.72,9.81,48.29,37.74,Volunteering,4,B+,58.31,pass
99.31,4.08,59.34,82.44,Drama/Theatre,9,A-,100.0,pass
84.91,8.28,71.95,36.09,Student Council,5,B+,61.0,pass
76.8,7.65,65.96,26.41,Technical Club,10,B+,100.0,pass
65.48,5.74,50.17,57.96,Sports,6,B,70.08,pass
90.69,9.56,30.45,20.8,Sports,9,B,100.0,pass
84.24,2.0,64.74,26.78,Art & Design,7,B,81.93,pass
58.13,1.09,49.99,84.61,Club Activity,5,B,66.27,pass
95.55,8.54,81.42,81.72,Volunteering,2,A-,50.0,pass
91.13,4.39,31.68,93.21,Drama/Theatre,4,B+,54.64,pass
97.49,8.47,70.94,88.36,Drama/Theatre,2,A-,50.0,pass
86.29,8.93,95.9,74.65,Entrepreneurship Cell,3,A,50.0,pass
80.67,0.62,42.21,24.19,NSS,10,C,100.0,fail
70.91,8.83,63.02,82.63,Club Activity,3,A-,50.0,pass
96.64,4.48,36.4,87.64,Sports,4,B+,58.9,pass
93.3,5.1,73.8,83.93,Music/Band,6,A-,77.86,pass
52.26,6.27,68.54,60.68,Art & Design,3,B,50.0,pass
51.32,9.26,58.52,38.63,Entrepreneurship Cell,10,B+,100.0,pass
68.82,0.19,66.5,87.63,Photography Club,1,B,50.0,pass
90.53,4.77,92.76,78.17,Entrepreneurship Cell,1,A-,50.0,pass
99.36,6.88,43.74,98.46,Student Council,9,A-,100.0,pass
57.52,7.23,31.58,32.46,Art & Design,9,B,100.0,pass
79.71,6.93,90.32,38.05,Sports,5,B+,68.96,pass
69.04,1.34,70.4,36.94,NSS,9,B,100.0,pass
98.5,2.99,92.35,83.4,Technical Club,7,A-,80.18,pass
92.11,3.59,71.79,34.95,Photography Club,9,B+,100.0,pass
91.92,8.04,86.71,25.33,Drama/Theatre,7,B+,81.74,pass
73.43,2.79,60.08,99.88,Student Council,9,B+,100.0,pass
70.74,2.11,82.49,21.99,Club Activity,2,C,50.0,fail
63.67,9.57,93.91,86.82,Photography Club,8,A,94.0,pass
52.82,0.09,70.05,49.23,Sports,7,C,89.86,fail
93.24,9.98,42.65,87.33,Entrepreneurship Cell,6,A-,71.01,pass
90.65,6.77,48.82,64.37,Volunteering,5,B+,64.24,pass
99.99,8.28,43.91,92.13,Music/Band,4,A-,53.07,pass
99.83,2.95,47.28,94.1,Art & Design,7,B+,89.05,pass
77.77,0.14,51.45,20.73,NSS,3,C,50.0,fail
88.45,7.38,68.86,26.03,Photography Club,8,B+,92.38,pass
97.24,8.34,71.16,40.03,Technical Club,2,B+,50.0,pass
92.48,7.4,59.85,73.55,Cultural Activity,1,B+,50.0,pass
62.37,1.43,73.08,91.06,Entrepreneurship Cell,2,B,50.0,pass
72.53,7.53,35.71,56.8,Music/Band,9,B+,100.0,pass
56.46,7.69,36.15,68.56,Sports,5,B,60.32,pass
97.7,6.59,42.03,35.08,Technical Club,8,B,91.33,pass
80.31,7.66,66.27,84.4,Entrepreneurship Cell,3,A-,50.0,pass
61.43,8.46,44.98,97.39,Music/Band,7,A-,82.12,pass
83.59,6.14,49.83,41.49,Music/Band,2,B,50.0,pass
80.91,0.89,58.02,59.59,Drama/Theatre,8,B,90.59,pass
67.91,4.88,86.83,26.89,Music/Band,7,B,82.15,pass
55.68,0.78,30.97,64.73,Volunteering,5,C,69.99,fail
83.58,4.08,75.46,60.22,Technical Club,4,B+,54.33,pass
76.02,4.07,76.82,31.55,Sports,1,B,50.0,pass
88.62,0.66,85.91,55.37,Sports,5,B,61.83,pass
76.01,3.49,95.29,46.73,Volunteering,9,B+,100.0,pass
92.61,1.11,31.41,61.75,Club Activity,10,B,100.0,pass
77.6,8.08,40.76,66.85,Photography Club,4,B+,53.14,pass
78.05,9.48,92.03,20.68,Technical Club,9,A-,100.0,pass
93.83,0.72,62.1,80.88,Music/Band,2,B,50.0,pass
70.17,9.55,69.52,77.04,Photography Club,4,A-,53.89,pass
56.7,5.23,76.41,49.3,NSS,9,B+,100.0,pass
51.44,3.0,77.53,24.23,Student Council,4,C,55.77,fail
87.76,0.77,95.22,80.39,Technical Club,5,B+,61.66,pass
81.02,5.01,99.79,96.41,Cultural Activity,8,A,94.03,pass
85.2,7.95,80.41,39.21,NSS,1,B+,50.0,pass
60.65,7.07,50.11,45.88,Volunteering,1,B,50.0,pass
56.82,0.5,91.58,34.71,Music/Band,9,B,100.0,pass
50.73,0.73,33.45,66.15,Club Activity,9,C,100.0,fail
67.53,4.03,46.18,32.39,Cultural Activity,4,C,59.4,fail
79.5,2.95,92.82,48.5,Club Activity,2,B,50.0,pass
69.61,2.32,47.93,75.76,Club Activity,9,B,100.0,pass
71.87,2.81,45.45,64.81,Art & Design,4,B,57.87,pass
95.21,8.03,39.67,50.92,Entrepreneurship Cell,6,B+,75.46,pass
67.41,9.29,90.14,53.62,Entrepreneurship Cell,1,B+,50.0,pass
75.7,4.05,65.0,64.97,Drama/Theatre,9,B+,100.0,pass
89.18,9.06,77.24,20.47,Cultural Activity,5,B+,63.99,pass
69.83,3.21,46.73,26.28,Student Council,3,C,50.0,fail
81.1,4.76,83.06,90.5,Drama/Theatre,4,A-,59.99,pass
93.12,2.26,83.2,26.23,Cultural Activity,1,B,50.0,pass
97.48,6.4,51.88,76.54,Club Activity,9,A-,100.0,pass
57.35,9.79,58.75,93.6,Drama/Theatre,8,A-,96.76,pass
96.33,6.03,44.68,41.65,Cultural Activity,4,B,53.41,pass
74.61,3.58,98.36,49.64,Student Council,2,B+,50.0,pass
62.91,6.48,75.19,65.51,Photography Club,9,B+,100.0,pass
72.96,1.23,95.42,90.54,NSS,4,B+,58.83,pass
99.0,8.89,51.24,95.35,Photography Club,9,A,100.0,pass
74.63,5.03,84.73,79.17,Technical Club,10,A-,100.0,pass
66.44,4.49,83.61,26.93,Photography Club,3,B,50.0,pass
81.67,5.86,78.42,73.53,Photography Club,7,A-,80.42,pass
62.01,6.25,97.59,52.82,Music/Band,7,B+,85.98,pass
53.79,0.72,57.55,57.66,Photography Club,10,B,100.0,pass
56.44,6.83,39.15,23.93,Cultural Activity,4,C,53.82,fail
56.4,2.42,77.02,35.28,Student Council,2,C,50.0,fail
57.6,7.14,81.05,83.24,Technical Club,9,A-,100.0,pass
56.94,8.23,70.25,56.32,Drama/Theatre,4,B+,53.76,pass
82.04,8.04,44.48,44.13,Cultural Activity,8,B+,91.41,pass
59.09,5.53,65.31,50.72,Cultural Activity,2,B,50.0,pass
67.28,5.2,51.85,88.35,Volunteering,8,B+,98.55,pass
94.84,1.43,59.92,79.92,Cultural Activity,10,B+,100.0,pass
73.7,7.75,75.17,41.79,Music/Band,5,B+,60.18,pass
83.38,2.71,82.17,29.4,Entrepreneurship Cell,7,B,82.16,pass
58.62,4.97,46.26,40.16,Volunteering,7,B,80.69,pass
59.61,2.84,58.37,93.66,Technical Club,9,B+,100.0,pass
52.04,1.34,48.84,66.53,Drama/Theatre,3,C,50.0,fail
58.45,6.3,43.9,62.68,Entrepreneurship Cell,10,B+,100.0,pass
63.93,0.54,84.84,67.71,Drama/Theatre,4,B,58.38,pass
58.85,7.49,93.65,49.28,Sports,10,A-,100.0,pass
54.44,3.18,55.92,84.57,Sports,4,B,56.9,pass
56.03,0.0,82.59,61.86,Technical Club,10,B,100.0,pass
73.04,5.11,92.79,29.34,Art & Design,5,B+,60.84,pass
60.32,0.47,89.23,30.33,Student Council,6,C,79.01,fail
68.21,2.76,42.8,62.95,Art & Design,3,C,50.0,fail
75.17,7.07,96.94,94.93,Student Council,4,A,53.93,pass
84.52,0.63,56.37,44.67,Volunteering,3,C,50.0,fail
51.97,8.39,53.75,89.56,Technical Club,2,B+,50.0,pass
89.97,0.04,34.37,81.13,Student Council,10,B,100.0,pass
81.4,2.47,64.03,39.82,Sports,9,B,100.0,pass
54.09,7.41,37.63,22.91,Sports,1,C,50.0,fail
93.68,3.16,47.4,28.15,Club Activity,2,C,50.0,fail
96.04,1.02,52.19,78.28,Student Council,8,B+,91.22,pass
53.05,3.6,86.62,35.97,Photography Club,7,B,88.1,pass
63.84,2.7,91.28,49.7,Technical Club,1,B,50.0,pass
90.31,8.43,51.17,60.14,Entrepreneurship Cell,5,B+,64.51,pass
87.41,3.13,90.11,78.04,NSS,10,A-,100.0,pass
59.23,7.89,90.01,29.06,Volunteering,6,B+,75.09,pass
60.47,8.92,83.53,52.51,Cultural Activity,5,B+,69.45,pass
68.52,4.34,40.27,58.81,Photography Club,4,B,55.48,pass
74.23,9.1,78.32,63.27,Cultural Activity,1,B+,50.0,pass
80.91,3.77,96.15,85.47,Student Council,7,A-,81.8,pass
68.45,9.64,77.78,33.73,Entrepreneurship Cell,9,B+,100.0,pass
73.13,0.89,53.21,84.63,Photography Club,6,B,78.12,pass
87.37,6.87,65.04,75.43,Art & Design,3,B+,50.0,pass
51.83,4.94,75.2,64.47,Volunteering,10,B+,100.0,pass
62.62,3.88,65.74,75.96,Photography Club,4,B,55.65,pass
85.67,6.33,38.4,52.96,Drama/Theatre,10,B+,100.0,pass
94.76,7.04,51.84,31.07,Entrepreneurship Cell,5,B,68.22,pass
75.58,0.04,86.17,73.26,Music/Band,1,B,50.0,pass
76.61,1.67,90.3,61.97,Cultural Activity,5,B+,68.49,pass
55.36,7.13,39.61,71.15,Sports,1,B,50.0,pass
72.37,6.66,96.67,47.04,Volunteering,9,A-,100.0,pass
76.63,9.66,53.02,92.55,Photography Club,7,A-,88.7,pass
62.12,7.61,76.36,66.99,Art & Design,3,B+,50.0,pass
63.46,9.51,82.63,26.83,Technical Club,9,B+,100.0,pass
68.86,7.03,86.84,55.98,Entrepreneurship Cell,2,B+,50.0,pass
51.0,2.98,96.2,80.51,Art & Design,7,B+,80.04,pass
66.1,1.05,51.9,83.53,Volunteering,9,B,100.0,pass
60.57,7.82,90.1,59.57,Drama/Theatre,6,A-,71.0,pass
66.37,6.44,39.22,91.58,Cultural Activity,10,B+,100.0,pass
55.99,0.48,79.35,41.41,Entrepreneurship Cell,5,C,62.76,fail
94.53,3.6,81.94,52.85,Sports,7,B+,84.44,pass
79.68,9.57,77.44,91.89,NSS,6,A,70.87,pass
83.96,5.0,47.66,91.7,Technical Club,5,B+,62.87,pass
89.46,4.33,91.11,74.86,Entrepreneurship Cell,2,A-,50.0,pass
74.92,4.58,41.82,88.72,Sports,8,B+,91.52,pass
54.35,2.09,33.75,27.1,Drama/Theatre,7,C,86.47,fail
76.86,3.69,80.22,89.2,Music/Band,6,A-,79.17,pass
79.34,3.7,63.28,45.65,Drama/Theatre,5,B,66.8,pass
87.27,0.52,89.44,34.27,Drama/Theatre,5,B,68.11,pass
71.58,7.68,56.84,39.15,Photography Club,9,B+,100.0,pass
56.38,4.17,41.78,53.44,Cultural Activity,1,C,50.0,fail
64.19,8.22,88.55,40.1,Volunteering,9,A-,100.0,pass
68.15,8.5,68.42,45.65,Entrepreneurship Cell,6,B+,77.15,pass
82.3,2.12,43.24,30.8,Volunteering,4,C,56.4,fail
78.54,6.57,80.43,43.69,Entrepreneurship Cell,10,B+,100.0,pass
67.8,4.72,65.78,65.78,Sports,7,B+,84.14,pass
99.33,8.8,72.3,55.35,Music/Band,9,A-,100.0,pass
80.29,2.16,62.26,47.74,Photography Club,5,B,67.84,pass
61.86,6.78,88.01,79.72,Music/Band,5,A-,66.79,pass
55.09,6.08,88.07,91.48,Art & Design,8,A-,94.73,pass
57.64,2.95,79.66,80.54,Photography Club,7,B+,89.0,pass
62.3,1.37,37.38,46.56,NSS,8,C,93.36,fail
58.03,6.52,88.72,79.56,Drama/Theatre,10,A-,100.0,pass
59.33,7.39,76.97,32.16,NSS,2,B,50.0,pass
64.25,3.16,78.79,30.43,Club Activity,9,B,100.0,pass
58.67,6.45,55.41,47.65,Student Council,3,B,50.0,pass
94.84,3.95,91.55,84.62,Drama/Theatre,6,A-,71.31,pass
54.01,7.13,80.78,39.71,NSS,6,B+,72.15,pass
76.23,1.99,37.88,25.06,Cultural Activity,2,C,50.0,fail
70.52,8.9,58.54,30.54,Student Council,7,B+,83.85,pass
99.12,2.87,92.05,88.7,Music/Band,9,A-,100.0,pass
55.6,3.68,33.3,70.7,Drama/Theatre,10,B,100.0,pass
69.89,0.58,97.3,40.26,Drama/Theatre,1,B,50.0,pass
98.47,1.12,77.54,64.42,Music/Band,8,B+,93.78,pass
93.28,5.16,74.2,62.21,Art & Design,2,B+,50.0,pass
90.85,2.68,48.94,72.43,Cultural Activity,1,B,50.0,pass
62.9,8.35,47.42,38.66,Drama/Theatre,8,B,91.67,pass
58.54,0.15,95.94,89.15,NSS,2,B+,50.0,pass
83.43,3.79,50.88,44.75,Drama/Theatre,6,B,73.86,pass
96.47,3.37,84.29,75.53,Student Council,6,A-,79.04,pass
77.84,0.19,57.52,21.29,Drama/Theatre,5,C,62.39,fail
78.58,1.24,39.75,49.81,NSS,8,C,92.07,fail
64.0,4.14,30.75,48.14,Technical Club,3,C,50.0,fail
88.47,4.93,68.1,63.48,Student Council,10,A-,100.0,pass
59.35,4.04,98.3,25.82,Entrepreneurship Cell,4,B,57.86,pass
66.18,5.31,55.84,83.21,Sports,7,B+,83.21,pass
71.27,5.95,55.0,37.42,Sports,7,B,80.37,pass
75.38,0.1,54.09,74.16,Student Council,8,B,99.18,pass
62.12,4.64,66.44,84.26,Entrepreneurship Cell,2,B+,50.0,pass
55.74,9.63,60.85,64.95,Cultural Activity,2,B+,50.0,pass
80.53,5.19,91.59,79.27,Technical Club,4,A-,52.74,pass
64.43,6.78,65.39,72.95,Student Council,10,A-,100.0,pass
79.06,3.12,65.54,48.44,NSS,9,B,100.0,pass
57.72,7.74,39.69,84.71,Photography Club,10,B+,100.0,pass
74.06,7.73,98.79,43.58,Club Activity,9,A-,100.0,pass
76.63,5.21,47.5,65.7,Photography Club,4,B,57.61,pass
52.59,9.76,35.14,79.63,Volunteering,9,B+,100.0,pass
66.83,1.26,76.42,50.32,Drama/Theatre,3,B,50.0,pass
56.72,0.17,71.68,44.22,Entrepreneurship Cell,5,C,64.18,fail
53.17,7.7,59.06,56.75,Art & Design,10,B+,100.0,pass
99.5,8.07,59.55,85.44,Technical Club,9,A,100.0,pass
66.12,1.2,84.95,94.39,NSS,6,B+,77.16,pass
90.49,2.66,43.7,63.61,Art & Design,3,B,50.0,pass
62.73,0.18,87.42,72.92,Sports,10,B+,100.0,pass
84.08,2.93,75.41,92.26,Student Council,9,A-,100.0,pass
88.01,7.73,59.33,27.88,Technical Club,6,B+,76.14,pass
79.78,5.18,62.06,38.57,Photography Club,4,B,56.24,pass
73.58,3.48,47.97,76.71,Music/Band,4,B,54.82,pass
70.59,3.72,82.65,85.9,Drama/Theatre,8,A-,94.01,pass
67.44,0.01,65.9,88.56,Volunteering,7,B,89.86,pass
96.48,3.0,52.46,53.21,Entrepreneurship Cell,1,B,50.0,pass
91.53,6.46,71.72,27.15,Photography Club,6,B+,74.35,pass
98.25,9.74,99.7,55.02,Sports,8,A,97.27,pass
56.21,8.47,60.47,38.46,Student Council,3,B,50.0,pass
86.54,0.24,94.45,43.3,Drama/Theatre,9,B+,100.0,pass
96.92,8.99,54.15,81.78,Sports,10,A,100.0,pass
59.06,7.83,33.83,26.04,Music/Band,2,C,50.0,fail
53.32,7.8,44.3,86.21,Art & Design,6,B+,70.17,pass
87.06,4.58,59.31,54.21,Photography Club,1,B,50.0,pass
78.72,3.98,45.37,67.69,Volunteering,2,B,50.0,pass
92.09,3.03,30.02,27.17,Volunteering,5,C,65.8,fail
56.99,0.66,94.05,46.99,Drama/Theatre,1,C,50.0,fail
89.76,2.28,89.07,27.18,NSS,8,B,91.75,pass
60.08,2.47,81.96,96.92,Drama/Theatre,1,B+,50.0,pass
58.18,4.84,41.75,84.58,Sports,9,B+,100.0,pass
58.21,7.47,38.43,56.77,Entrepreneurship Cell,10,B+,100.0,pass
90.73,4.74,34.73,37.89,NSS,3,C,50.0,fail
83.26,0.58,80.68,94.68,Volunteering,2,B+,50.0,pass
76.15,9.58,95.02,47.57,Club Activity,1,A-,50.0,pass
67.94,9.43,60.14,32.88,Volunteering,9,B+,100.0,pass
93.86,7.85,38.34,65.05,Drama/Theatre,4,B+,59.99,pass
69.62,9.91,65.87,95.5,Sports,1,A-,50.0,pass
90.83,5.44,54.42,20.31,NSS,1,C,50.0,fail
71.96,9.63,56.24,39.05,Student Council,7,B+,87.82,pass
68.85,0.76,73.49,95.08,NSS,2,B,50.0,pass
73.13,3.66,80.31,33.69,Music/Band,7,B,85.74,pass
65.07,2.25,37.74,29.06,Cultural Activity,7,C,88.33,fail
87.38,1.96,32.49,65.61,Photography Club,10,B,100.0,pass
75.14,1.41,99.6,88.95,Cultural Activity,9,A-,100.0,pass
61.61,6.22,46.29,58.17,Technical Club,7,B,83.37,pass
94.98,7.81,33.77,99.57,Art & Design,1,B+,50.0,pass
69.19,5.78,43.29,74.33,Technical Club,8,B+,92.33,pass
77.18,1.47,32.73,25.93,Entrepreneurship Cell,8,C,99.05,fail
95.32,8.11,57.43,99.43,Entrepreneurship Cell,4,A-,50.37,pass
81.21,6.36,86.17,52.63,Technical Club,8,A-,92.2,pass
55.84,3.88,53.89,42.99,NSS,4,C,53.1,fail
96.99,6.74,61.09,64.63,Sports,8,A-,96.17,pass
81.39,2.6,77.29,44.34,Photography Club,5,B,65.34,pass
66.75,3.45,65.62,26.92,Technical Club,4,C,52.18,fail
56.96,9.17,90.3,20.11,Drama/Theatre,6,B+,71.64,pass
89.7,2.91,90.62,55.97,NSS,2,B+,50.0,pass
81.0,4.7,30.69,86.95,Sports,2,B,50.0,pass
76.67,8.9,84.46,65.79,Cultural Activity,2,A-,50.0,pass
94.69,7.08,62.25,99.94,Club Activity,9,A,100.0,pass
89.43,0.62,99.22,42.95,Entrepreneurship Cell,10,B+,100.0,pass
57.58,1.47,63.83,42.44,Drama/Theatre,3,C,50.0,fail
65.59,0.08,99.08,32.78,Student Council,10,B,100.0,pass
62.42,6.31,82.82,33.13,Art & Design,4,B,53.29,pass
87.2,4.48,47.4,42.81,Student Council,10,B,100.0,pass
51.68,1.34,67.69,83.43,Sports,8,B,92.8,pass
78.49,9.58,99.45,92.46,Photography Club,4,A,55.71,pass
88.12,5.3,90.03,98.01,Music/Band,10,A,100.0,pass
93.84,2.42,36.82,38.58,Sports,10,B,100.0,pass
67.1,5.01,79.45,90.5,Club Activity,7,A-,82.61,pass
91.06,6.8,54.19,46.26,Cultural Activity,5,B+,63.35,pass
55.53,0.76,30.49,29.03,Volunteering,9,C,100.0,fail
92.32,2.75,58.24,89.6,Sports,4,B+,59.27,pass
56.37,8.07,46.43,70.89,Cultural Activity,3,B,50.0,pass
69.86,4.6,87.32,33.18,Photography Club,2,B,50.0,pass
89.86,5.47,53.61,54.39,Student Council,1,B,50.0,pass
57.5,4.33,87.93,42.98,Sports,6,B,74.96,pass
61.46,0.44,30.04,78.94,Sports,10,B,100.0,pass
86.11,1.66,51.55,56.27,Technical Club,2,C,50.0,fail
86.0,4.46,46.88,99.14,Student Council,8,A-,91.48,pass
82.06,2.09,46.35,24.38,Art & Design,6,C,76.36,fail
84.7,0.5,34.77,48.4,Art & Design,5,C,69.49,fail
77.14,8.44,43.1,58.55,Drama/Theatre,2,B,50.0,pass
62.59,9.81,68.89,60.25,Music/Band,7,A-,83.75,pass
67.28,7.93,50.4,45.27,Entrepreneurship Cell,2,B,50.0,pass
59.08,8.54,59.22,78.34,Volunteering,5,B+,68.56,pass
95.42,2.42,56.38,89.98,Sports,2,B+,50.0,pass
79.17,9.61,91.31,95.1,Sports,10,A+,100.0,pass
70.04,1.97,93.37,84.41,Drama/Theatre,2,B+,50.0,pass
73.1,9.51,64.51,88.05,Music/Band,7,A-,82.06,pass
97.36,9.95,53.11,64.04,Student Council,9,A-,100.0,pass
57.67,7.12,37.48,86.07,Sports,5,B+,60.76,pass
79.31,9.81,96.74,44.28,Cultural Activity,7,A-,86.95,pass
75.29,5.7,34.22,51.88,NSS,4,B,52.53,pass
80.57,2.6,50.84,45.35,Entrepreneurship Cell,2,C,50.0,fail
50.91,4.37,50.86,57.39,Music/Band,3,C,50.0,fail
93.61,5.94,52.43,42.85,Sports,2,B,50.0,pass
96.61,0.73,41.5,96.93,Music/Band,5,B+,64.93,pass
78.26,6.22,84.82,45.03,Art & Design,6,B+,75.72,pass
84.83,9.81,38.57,27.84,Photography Club,7,B+,85.69,pass
96.12,1.9,74.44,62.15,Volunteering,3,B+,50.0,pass
85.36,7.93,38.67,24.57,Sports,4,B,51.93,pass
57.63,9.08,34.94,28.84,Volunteering,8,B,97.45,pass
78.81,9.44,93.66,37.55,Club Activity,4,A-,51.27,pass
80.34,9.6,43.31,57.15,Photography Club,7,B+,81.04,pass
71.21,5.21,87.49,54.66,NSS,6,B+,77.1,pass
86.82,9.77,68.12,83.98,Drama/Theatre,7,A,82.09,pass
96.72,7.57,35.45,79.16,Volunteering,1,B+,50.0,pass
96.28,1.62,96.88,54.11,Sports,3,B+,50.0,pass
72.54,4.77,47.29,46.7,Technical Club,6,B,74.49,pass
55.66,7.18,90.18,45.32,Drama/Theatre,3,B+,50.0,pass
99.24,2.47,41.82,81.92,Entrepreneurship Cell,7,B+,86.23,pass
91.94,6.41,89.78,24.17,Drama/Theatre,9,B+,100.0,pass
56.23,6.67,30.93,21.03,Student Council,3,C,50.0,fail
96.04,1.63,65.82,83.64,Volunteering,1,B+,50.0,pass
93.49,5.65,83.86,58.17,Technical Club,10,A-,100.0,pass
75.94,7.72,95.44,30.47,Volunteering,6,B+,74.38,pass
79.56,4.99,93.64,38.85,Student Council,1,B+,50.0,pass
